name_of_school,school_code,location/province,location/district,location/gps,location/_gps_latitude,location/_gps_longitude,location/_gps_altitude,location/_gps_precision,public_private,school_sponsor,institution_type1,institution_type2,total_enrolment,total_teachers,total_number_of_classrooms,boys_toilets,girls_toilets,total_toilets,pupil_teacher_ratio,pupil_classroom_ratio,pupil_toilet_ratio,meta/instanceID,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by
ithenguri primary school,106,central,nyeri,-0.462719 36.96398,,,,,public,central_government,mixed,day_only,223,8,15,13,12,25,27.9,14.9,8.9,uuid:58779387-8315-4fdb-adf5-fb4bd5533660,58779387-8315-4fdb-adf5-fb4bd5533660,2013-03-04T08:15:22,,,201605172039,,
kiabarikiri primary,749,central,kirinyaga,-0.490737 37.291811,,,,,public,religious_organization,mixed,day_only,462,16,16,8,8,16,28.9,28.9,28.9,uuid:78b99a04-b89b-4fa7-81be-99b13194c57f,78b99a04-b89b-4fa7-81be-99b13194c57f,2013-03-04T08:24:07,,,201605172039,,
gakarati primary,1226,central,maragua,-0.868506 37.13481,,,,,public,religious_organization,mixed,day_only,687,14,17,30,18,48,49.1,40.4,14.3,uuid:be58167f-8fbf-4ee7-9260-646ffe0789f4,be58167f-8fbf-4ee7-9260-646ffe0789f4,2013-03-04T08:31:00,,,201605172039,,
icuga primary,843,central,nyeri,-0.443473 37.110192,,,,,public,religious_organization,mixed,day_and_boarding,563,12,24,8,14,22,46.9,23.5,25.6,uuid:fbef875c-54ce-445c-9666-3e2bf10fbd2b,fbef875c-54ce-445c-9666-3e2bf10fbd2b,2013-03-04T08:25:11,,,201605172039,,
kiburu primary special unit,566,central,kirinyaga,-0.539525 37.207998,,,,,public,religious_organization,mixed,day_only,8,1,1,1,1,2,8,8,4,uuid:0820d5b7-84bf-4900-b9c8-277d10a7c99b,0820d5b7-84bf-4900-b9c8-277d10a7c99b,2013-03-04T08:21:22,,,201605172039,,
kahumbu primary,1221,central,maragua,-0.84055 37.054651,,,,,public,religious_organization,mixed,day_only,841,17,20,18,22,40,49.5,42.1,21,uuid:2c89e850-852a-4114-b4d2-d69a21f062ed,2c89e850-852a-4114-b4d2-d69a21f062ed,2013-03-04T08:31:38,,,201605172039,,
kerugoya school for the deaf,781,central,kirinyaga,-0.501314 37.273557,,,,,public,religious_organization,mixed,boarding_only,157,23,16,8,4,12,6.8,9.8,13.1,uuid:545387af-ec97-449f-8027-dc103e2f6e05,545387af-ec97-449f-8027-dc103e2f6e05,2013-03-04T08:23:29,,,201605172039,,
raimu primary,685,central,kirinyaga,-0.499618 37.354496,,,,,public,religious_organization,boys_only,day_and_boarding,443,28,16,4,5,9,15.8,27.7,49.2,uuid:0320a60c-f824-401a-a0bd-b44d873b159b,0320a60c-f824-401a-a0bd-b44d873b159b,2013-03-04T08:22:54,,,201605172039,,
gatitu primary,1385,central,maragua,-0.904023 37.044286,,,,,public,local_government,mixed,day_only,470,15,18,13,19,32,31.3,26.1,14.7,uuid:be14d536-1b8d-4a71-b742-d153dbd36143,be14d536-1b8d-4a71-b742-d153dbd36143,2013-03-04T08:32:43,,,201605172039,,
ngurumo primary,857,central,nyeri,-0.504934 37.074064,,,,,public,local_government,mixed,day_only,182,8,15,4,6,10,22.8,12.1,18.2,uuid:cb4fe33a-0bf8-4608-a3ca-d7e7243b6376,cb4fe33a-0bf8-4608-a3ca-d7e7243b6376,2013-03-04T08:25:25,,,201605172039,,
maragua primary,1233,central,maragua,-0.77804 37.126676,,,,,public,local_government,mixed,day_only,539,16,28,16,22,38,33.7,19.3,14.2,uuid:a7c2d932-9cbe-4e21-bb53-77aa72dbcc4d,a7c2d932-9cbe-4e21-bb53-77aa72dbcc4d,2013-03-04T08:31:54,,,201605172039,,
tetu girls primary school,90,central,nyeri,-0.436993 36.911271,,,,,public,local_government,girls_only,day_and_boarding,605,16,17,0,10,10,37.8,35.6,60.5,uuid:b95f07c9-67ef-4b5d-a768-e3ad2c6d0032,b95f07c9-67ef-4b5d-a768-e3ad2c6d0032,2013-03-04T08:14:38,,,201605172039,,
nyeri st xavier's academy,87,central,nyeri,-0.433741 36.92757,,,,,private,ngo_cbo,mixed,day_and_boarding,167,0,15,7,6,13,n/a,11.1,12.8,uuid:efa470f0-3d02-4e34-ae9a-02fda891b309,efa470f0-3d02-4e34-ae9a-02fda891b309,2013-03-04T08:14:34,,,201605172039,,
nyeri town view academy primary school,86,central,nyeri,-0.430677 36.949365,,,,,private,ngo_cbo,mixed,day_and_boarding,304,19,12,3,10,13,16,25.3,23.4,uuid:29971002-ea81-4c61-b196-d492af9d4bc4,29971002-ea81-4c61-b196-d492af9d4bc4,2013-03-04T08:14:20,,,201605172039,,
kibutio primary school,43,central,nyeri,-0.613107 37.081258,,,,,public,local_government,mixed,day_only,363,11,15,12,12,24,33,24.2,15.1,uuid:203de74d-9f09-44c0-95e8-04692352be2a,203de74d-9f09-44c0-95e8-04692352be2a,2013-03-04T08:14:21,,,201605172039,,
highvision primary school,23382,eastern,isiolo,0.335 37.57863,,,,,private,private_individual_organization,mixed,day_only,116,8,7,4,3,7,14.5,16.6,16.6,uuid:3ef4a486-d3e3-47e3-8a6d-d0eda5c78f51,3ef4a486-d3e3-47e3-8a6d-d0eda5c78f51,2013-03-04T16:18:28,,,201605172039,,
manunga primary school,1651,central,nyandarua,-0.380031666 36.49359583,,,,,public,local_government,mixed,day_only,774,16,18,10,18,28,48.4,43,27.6,uuid:10b5187f-e2ae-4dc1-afc1-7cc97624cf7d,10b5187f-e2ae-4dc1-afc1-7cc97624cf7d,2013-03-04T08:37:31,,,201605172039,,
munyuini primary school,1623,central,nyandarua,-0.347555 36.489268,,,,,public,local_government,mixed,day_only,531,14,12,2,8,10,37.9,44.3,53.1,uuid:c930a614-c25e-4960-9756-193ec2d4a965,c930a614-c25e-4960-9756-193ec2d4a965,2013-03-04T08:37:30,,,201605172039,,
gatiko primary,875,central,nyeri,-0.456132 37.059118,,,,,public,local_government,mixed,day_only,233,8,11,10,14,24,29.1,21.2,9.7,uuid:2b44b141-80b0-47ff-8540-a3289029f030,2b44b141-80b0-47ff-8540-a3289029f030,2013-03-04T08:25:56,,,201605172039,,
rayeta primary school,1631,central,nyandarua,-0.31618 36.528246,,,,,public,local_government,boys_only,day_only,597,15,14,8,8,16,39.8,42.6,37.3,uuid:1fba9690-3a4d-4124-92b9-ea33e83362c1,1fba9690-3a4d-4124-92b9-ea33e83362c1,2013-03-04T08:37:02,,,201605172039,,
passenga primary mary,1561,central,nyandarua,-0.201579 36.318589,,,,,public,local_government,mixed,day_only,728,18,16,9,7,16,40.4,45.5,45.5,uuid:f143b0f7-5cf2-4dc3-b5c4-9534128007c7,f143b0f7-5cf2-4dc3-b5c4-9534128007c7,2013-03-04T08:35:49,,,201605172039,,
st.mark valley - land primary,1504,central,nyandarua,-0.02567 36.259512,,,,,private,ngo_cbo,mixed,day_only,151,11,9,5,4,9,13.7,16.8,16.8,uuid:6a157671-fe3c-4a61-b25e-56507c906a91,6a157671-fe3c-4a61-b25e-56507c906a91,2013-03-04T08:35:56,,,201605172039,,
Kigumo Primary,356,central,maragua,-0.414622 37.635192 0 0,-0.414622,37.635192,0,0,public,central_government,mixed,day_only,n/a,n/a,n/a,n/a,n/a,NaN,n/a,n/a,n/a,uuid:ff2ea830-387f-4740-8f6b-ff036ddb181b,ff2ea830-387f-4740-8f6b-ff036ddb181b,2015-05-14T19:12:04,,,201605172039,,cagulas
